question_content,question_content_image,answer_content,answer_content_image,box_number,last_reviewed
Du point de vue de la NIBT à quoi correspondent ces dimensions ?,images_questions/NIBT_figures_cfc/2013_02_27_15_52_18_1361976738.jpg,Volume d'accessibilité au toucher,,1,03-31-22
En NIBT. Que représente cette pyramide ?,images_questions/NIBT_figures_cfc/2013_02_27_15_55_18_1361976918.jpg,Hiérarchie légale en Suisse,,1,03-31-22
Savoir interpréter ce diagramme !,images_questions/NIBT_figures_cfc/2013_02_27_15_59_03_1361977143.jpg,La figure 1.3.1b représente le champ d'action des effets de courants corporels pour un courant alternatif de 15 à 100 Hz. 1) En général pas d'effets 2) En général pas d'effets physiologiques nocifs. 3) Effets physiologiques. En général hypertension/crampes musculaires/troubles respiratoires. Danger de fibrillation cardiaque peu important. 4) Effets physiologiques plus importants avec danger accru de fibrillation cardiaque à partir de 200 mA environ pour un temps d'action de 400 ms c1) Fibrillation cardiaque < 5 % probable c2) Fibrillation cardiaque < 50 % probable c3) Fibrillation cardiaque > 50 % probable,,1,31/03/2022
Donnez 346 exemples qui représentent cette situation et expliquez ce que le dessin représente en NIBT,images_questions/NIBT_figures_cfc/2013_02_27_16_07_52_1361977672.jpg,Liaison équipotentielle de protection. La liaison équipotentielle de protection est une liaison électrique qui amène les masses des matériels et les parties conductrices étrangères au même potentiel ou approximativement au même potentiel,1,31/03/2022
A quelles distances des parois doivent être montés les appareils producteurs d'eau chaude (pour garantir une bonne circulation d'air.) ? (NIBT),images_questions/NIBT_figures_cfc/2013_02_27_22_14_54_1361999694.jpg,Voici la réponse par l'image,images_reponses/NIBT_figures_cfc/2013_02_27_22_14_54_1361999694_R.jpg,1,03-31-22
A savoir intégralement pour le reste de votre vie. A vous de compléter les <strong>VIDES</strong>,images_questions/NIBT_figures_cfc/2017_04_19_02_00_06_1492560006_Q.jpg,Règle des 5 doigts,images_reponses/NIBT_figures_cfc/2017_04_19_02_00_06_1492560006_R.jpg,1,03-31-22
Règles vitales pour travailler avec des installations électriques. compléter les <strong>VIDES</strong>,images_questions/NIBT_figures_cfc/2017_04_19_02_11_06_1492560666_Q.jpg,5 + 5 Règles,images_reponses/NIBT_figures_cfc/2017_04_19_02_11_06_1492560666_R.jpg,1,03-31-22
5 règles de sécurité à découvrir sous les traces de peinture,images_questions/NIBT_figures_cfc/2017_04_19_02_27_57_1492561677_Q.jpg,Règle des 5 doigts,images_reponses/NIBT_figures_cfc/2017_04_19_02_27_57_1492561677_R.jpg,1,03-31-22
Que dire sur le sujet des niveaux de protection ?,images_questions/NIBT_figures_cfc/2017_05_09_09_39_32_1494315572_Q.jpg,NIBT Figure 1.1.4.1 Principe à plusieurs couches (pelure d'oignon),images_reponses/NIBT_figures_cfc/2017_05_09_09_39_32_1494315572_R.jpg,1,03-31-22
Quelques mots sur les EPI....,images_questions/NIBT_figures_cfc/2017_05_09_22_42_11_1494362531_Q.jpg,Figure 1.1.4.2 Niveaux de protection,images_reponses/NIBT_figures_cfc/2017_05_09_22_42_11_1494362531_R.jpg,1,03-31-22
Quelques mots sur les niveaux de protection EPI....,images_questions/NIBT_figures_cfc/2017_05_09_22_43_52_1494362632_Q.jpg,Tableau 1.1.4.3 Les trois niveaux de protection EPI,images_reponses/NIBT_figures_cfc/2017_05_09_22_43_52_1494362632_R.jpg,1,03-31-22
Que vient faire ce minéral fibreux dans la NIBT ...,images_questions/NIBT_figures_cfc/2017_05_09_22_50_25_1494363025_Q.jpg,L'amiante est un minéral constitué de fibres extrêmement fines pénétrant facilement dans les poumons. En Suisse il était essentiellement connu sous la marque commerciale « Eternit ». Résistant à des températures jusqu'à 1000 °C et possédant de bonnes propriétés d'isolation électrique et thermique il présente une élasticité et une résistancemécanique élevées et se mélange facilement avec différents matériaux composites (ciment etc.).,images_reponses/NIBT_figures_cfc/2017_05_09_22_50_25_1494363025_R.jpg,1,03-31-22
Quelques valeurs manquent... (pointures de chaussures...?),images_questions/NIBT_figures_cfc/2017_05_09_23_28_00_1494365280_Q.jpg,NIBT Tableau 2.2.3.1 Courants assignés normalisés pour les dispositifs de protection contre les surintensités,images_reponses/NIBT_figures_cfc/2017_05_09_23_28_00_1494365280_R.jpg,1,03-31-22
Les défauts électriques ont des noms.... quels sont-ils ?,images_questions/NIBT_figures_cfc/2017_05_09_23_31_14_1494365474_Q.jpg,NIBT Figure 2.3.1.1 Genres de défauts dans le réseau électrique,images_reponses/NIBT_figures_cfc/2017_05_09_23_31_14_1494365474_R.jpg,1,03-31-22
Qu'est ce que le courant de défaut.... ?,images_questions/NIBT_figures_cfc/2017_05_09_23_34_02_1494365642_Q.jpg,NIBT Fig. 2.3.2.1 Courant de défaut IF et circuit en défaut. IMPEDANCE EN ALTERNATIF,images_reponses/NIBT_figures_cfc/2017_05_09_23_34_02_1494365642_R.jpg,1,03-31-22
Nommer les abréviations et appellations pour les différents courts-circuits.,images_questions/NIBT_figures_cfc/2017_05_10_10_49_37_1494406177_Q.jpg,NIBT Figure 2.3.4.1 Types de court-circuit dans le système TN pour réseau triphasé,images_reponses/NIBT_figures_cfc/2017_05_10_10_49_37_1494406177_R.jpg,1,03-31-22
Comment calculer l'impédance de boucle globale ?,images_questions/NIBT_figures_cfc/2017_05_10_11_45_20_1494409520_Q.jpg,NIBT Figure 2.3.4.2.1 Impédances en cas de court-circuit pour le plus petit courant de court-circuit Ikmin,images_reponses/NIBT_figures_cfc/2017_05_10_11_45_20_1494409520_R.jpg,1,03-31-22
NIBT : A quoi sert ce TRUC ?,images_questions/NIBT_figures_cfc/2019_05_19_14_09_02_1558267742_Q.jpg,Un doigt d'épreuve normalisé sert à vérifier la protection contre les contacts avec des parties sous tension.,,1,03-31-22
NIBT : Compléter les <strong>?</strong> par des réponses <JUSTES>.,images_questions/NIBT_figures_cfc/2019_05_19_14_25_46_1558268746_Q.jpg,Voici la réponse par l'image...,images_reponses/NIBT_figures_cfc/2019_05_19_14_25_46_1558268746_R.jpg,1,03-31-22
NIBT : Compléter les <strong>?</strong> par des réponses <JUSTES>.,images_questions/NIBT_figures_cfc/2019_05_19_14_27_19_1558268839_Q.jpg,Voici la réponse par l'image...,images_reponses/NIBT_figures_cfc/2019_05_19_14_27_19_1558268839_R.jpg,1,03-31-22